[03:40:34.090] Namespace(train_path='/home/shivam/Desktop/shivam/classiitb/mic/ParaTransCNN-master/data/', checkpoint_path='./checkpoints/ParaTransCNN_SGD_0.01_150_Synapse', dataset='Synapse', list_dir='./lists/lists_Synapse', num_classes=9, max_epochs=150, batch_size=4, n_gpu=1, deterministic=1, base_lr=0.01, img_size=224, seed=1234, model_name='ParaTransCNN')
[03:40:34.093] 553 iterations per epoch. 82950 max iterations 
[03:43:12.698] Namespace(train_path='/home/shivam/Desktop/shivam/classiitb/mic/ParaTransCNN-master/data/', checkpoint_path='./checkpoints/ParaTransCNN_SGD_0.01_150_Synapse', dataset='Synapse', list_dir='./lists/lists_Synapse', num_classes=9, max_epochs=150, batch_size=4, n_gpu=1, deterministic=1, base_lr=0.01, img_size=224, seed=1234, model_name='ParaTransCNN')
[03:43:12.701] 553 iterations per epoch. 82950 max iterations 
[03:46:12.009] Namespace(train_path='/home/shivam/Desktop/shivam/classiitb/mic/ParaTransCNN-master/data/Synapse', checkpoint_path='./checkpoints/ParaTransCNN_SGD_0.01_150_Synapse', dataset='Synapse', list_dir='./lists/lists_Synapse', num_classes=9, max_epochs=150, batch_size=4, n_gpu=1, deterministic=1, base_lr=0.01, img_size=224, seed=1234, model_name='ParaTransCNN')
[03:46:12.012] 553 iterations per epoch. 82950 max iterations 
[03:46:51.095] Namespace(train_path='/home/shivam/Desktop/shivam/classiitb/mic/ParaTransCNN-master/data/Synapse/train_npz', checkpoint_path='./checkpoints/ParaTransCNN_SGD_0.01_150_Synapse', dataset='Synapse', list_dir='./lists/lists_Synapse', num_classes=9, max_epochs=150, batch_size=4, n_gpu=1, deterministic=1, base_lr=0.01, img_size=224, seed=1234, model_name='ParaTransCNN')
[03:46:51.098] 553 iterations per epoch. 82950 max iterations 
[03:51:27.950] Namespace(train_path='/home/shivam/Desktop/shivam/classiitb/mic/ParaTransCNN-master/data/Synapse/train_npz', checkpoint_path='./checkpoints/ParaTransCNN_SGD_0.01_150_Synapse', dataset='Synapse', list_dir='./lists/lists_Synapse', num_classes=9, max_epochs=150, batch_size=1, n_gpu=1, deterministic=1, base_lr=0.01, img_size=224, seed=1234, model_name='ParaTransCNN')
[03:51:27.967] 2211 iterations per epoch. 331650 max iterations 
[03:51:30.479] time(h): (0.000697/231.307835), epoch: (0/150), iteration: 1, loss: 1.625326, loss_ce: 2.273428, loss_dice: 0.977223, lr: 0.010000
[03:51:38.024] time(h): (0.002231/46.238895), epoch: (0/150), iteration: 16, loss: 0.838268, loss_ce: 0.832336, loss_dice: 0.844201, lr: 0.010000
[03:51:38.529] time(h): (0.002380/46.436047), epoch: (0/150), iteration: 17, loss: 0.646927, loss_ce: 0.420899, loss_dice: 0.872955, lr: 0.010000
[03:51:39.035] time(h): (0.002527/46.568931), epoch: (0/150), iteration: 18, loss: 0.564741, loss_ce: 0.237460, loss_dice: 0.892023, lr: 0.010000
[03:51:39.538] time(h): (0.002655/46.349617), epoch: (0/150), iteration: 19, loss: 0.530591, loss_ce: 0.170639, loss_dice: 0.890543, lr: 0.010000
[03:51:40.044] time(h): (0.002806/46.523158), epoch: (0/150), iteration: 20, loss: 0.506159, loss_ce: 0.122557, loss_dice: 0.889762, lr: 0.009999
[03:52:09.646] Namespace(train_path='/home/shivam/Desktop/shivam/classiitb/mic/ParaTransCNN-master/data/Synapse/train_npz', checkpoint_path='./checkpoints/ParaTransCNN_SGD_0.01_150_Synapse', dataset='Synapse', list_dir='./lists/lists_Synapse', num_classes=9, max_epochs=150, batch_size=1, n_gpu=1, deterministic=1, base_lr=0.01, img_size=224, seed=1234, model_name='ParaTransCNN')
[03:52:09.650] 2211 iterations per epoch. 331650 max iterations 
[03:52:10.553] time(h): (0.000251/83.138873), epoch: (0/150), iteration: 1, loss: 1.625326, loss_ce: 2.273428, loss_dice: 0.977223, lr: 0.010000
[03:52:11.059] time(h): (0.000281/46.524871), epoch: (0/150), iteration: 2, loss: 1.577302, loss_ce: 2.230077, loss_dice: 0.924527, lr: 0.010000
[03:52:11.562] time(h): (0.000419/46.370989), epoch: (0/150), iteration: 3, loss: 1.578196, loss_ce: 2.197685, loss_dice: 0.958706, lr: 0.010000
[03:52:12.068] time(h): (0.000560/46.450829), epoch: (0/150), iteration: 4, loss: 1.551364, loss_ce: 2.128945, loss_dice: 0.973784, lr: 0.010000
[03:52:12.572] time(h): (0.000699/46.361808), epoch: (0/150), iteration: 5, loss: 1.505354, loss_ce: 2.039302, loss_dice: 0.971405, lr: 0.010000
[03:52:13.076] time(h): (0.000840/46.424208), epoch: (0/150), iteration: 6, loss: 1.430627, loss_ce: 1.960951, loss_dice: 0.900303, lr: 0.010000
[03:52:13.581] time(h): (0.000980/46.420430), epoch: (0/150), iteration: 7, loss: 1.382612, loss_ce: 1.826023, loss_dice: 0.939201, lr: 0.010000
[03:52:14.085] time(h): (0.001119/46.395918), epoch: (0/150), iteration: 8, loss: 1.338509, loss_ce: 1.782214, loss_dice: 0.894805, lr: 0.010000
[03:52:14.588] time(h): (0.001257/46.316693), epoch: (0/150), iteration: 9, loss: 1.247129, loss_ce: 1.540049, loss_dice: 0.954208, lr: 0.010000
[03:52:15.093] time(h): (0.001401/46.475034), epoch: (0/150), iteration: 10, loss: 1.169104, loss_ce: 1.390597, loss_dice: 0.947610, lr: 0.010000
[03:52:15.596] time(h): (0.001535/46.280057), epoch: (0/150), iteration: 11, loss: 1.083857, loss_ce: 1.227958, loss_dice: 0.939756, lr: 0.010000
[03:52:16.103] time(h): (0.001690/46.696346), epoch: (0/150), iteration: 12, loss: 0.993574, loss_ce: 1.056331, loss_dice: 0.930817, lr: 0.010000
[03:52:16.607] time(h): (0.001818/46.392426), epoch: (0/150), iteration: 13, loss: 0.905395, loss_ce: 0.889170, loss_dice: 0.921620, lr: 0.010000
[03:52:17.113] time(h): (0.001967/46.585844), epoch: (0/150), iteration: 14, loss: 0.880951, loss_ce: 0.905949, loss_dice: 0.855954, lr: 0.010000
[03:52:17.618] time(h): (0.002101/46.455507), epoch: (0/150), iteration: 15, loss: 0.807248, loss_ce: 0.728999, loss_dice: 0.885496, lr: 0.010000
[03:52:18.121] time(h): (0.002235/46.337317), epoch: (0/150), iteration: 16, loss: 0.838268, loss_ce: 0.832336, loss_dice: 0.844201, lr: 0.010000
[03:52:18.626] time(h): (0.002383/46.485049), epoch: (0/150), iteration: 17, loss: 0.646927, loss_ce: 0.420899, loss_dice: 0.872955, lr: 0.010000
[03:52:19.136] time(h): (0.002548/46.945619), epoch: (0/150), iteration: 18, loss: 0.564741, loss_ce: 0.237460, loss_dice: 0.892023, lr: 0.010000
[03:52:19.642] time(h): (0.002666/46.546088), epoch: (0/150), iteration: 19, loss: 0.530591, loss_ce: 0.170639, loss_dice: 0.890543, lr: 0.010000
[03:52:20.146] time(h): (0.002799/46.417158), epoch: (0/150), iteration: 20, loss: 0.506159, loss_ce: 0.122557, loss_dice: 0.889762, lr: 0.009999
[03:55:03.540] Namespace(train_path='/home/shivam/Desktop/shivam/classiitb/mic/ParaTransCNN-master/data/Synapse/train_npz', checkpoint_path='./checkpoints/ParaTransCNN_SGD_0.01_150_Synapse', dataset='Synapse', list_dir='./lists/lists_Synapse', num_classes=9, max_epochs=150, batch_size=2, n_gpu=1, deterministic=1, base_lr=0.01, img_size=224, seed=1234, model_name='ParaTransCNN')
[03:55:03.543] 1106 iterations per epoch. 165900 max iterations 
[03:55:04.967] time(h): (0.000395/65.591497), epoch: (0/150), iteration: 1, loss: 1.597979, loss_ce: 2.262422, loss_dice: 0.933537, lr: 0.010000
[03:55:05.881] time(h): (0.000507/42.085240), epoch: (0/150), iteration: 2, loss: 1.607223, loss_ce: 2.248049, loss_dice: 0.966398, lr: 0.010000
[03:55:06.792] time(h): (0.000759/41.960383), epoch: (0/150), iteration: 3, loss: 1.562996, loss_ce: 2.198517, loss_dice: 0.927475, lr: 0.010000
[03:55:07.711] time(h): (0.001021/42.361083), epoch: (0/150), iteration: 4, loss: 1.525040, loss_ce: 2.133337, loss_dice: 0.916743, lr: 0.010000
[03:55:08.630] time(h): (0.001274/42.283327), epoch: (0/150), iteration: 5, loss: 1.504735, loss_ce: 2.038098, loss_dice: 0.971372, lr: 0.010000
[03:55:09.548] time(h): (0.001530/42.298116), epoch: (0/150), iteration: 6, loss: 1.450096, loss_ce: 1.931900, loss_dice: 0.968292, lr: 0.010000
[03:55:10.470] time(h): (0.001791/42.454331), epoch: (0/150), iteration: 7, loss: 1.373514, loss_ce: 1.832482, loss_dice: 0.914546, lr: 0.010000
[03:55:11.395] time(h): (0.002056/42.627455), epoch: (0/150), iteration: 8, loss: 1.319665, loss_ce: 1.747098, loss_dice: 0.892233, lr: 0.010000
[03:55:12.316] time(h): (0.002303/42.444475), epoch: (0/150), iteration: 9, loss: 1.240031, loss_ce: 1.548448, loss_dice: 0.931615, lr: 0.010000
[03:55:13.240] time(h): (0.002565/42.553380), epoch: (0/150), iteration: 10, loss: 1.164022, loss_ce: 1.380879, loss_dice: 0.947166, lr: 0.010000
[03:55:14.159] time(h): (0.002806/42.326825), epoch: (0/150), iteration: 11, loss: 1.080559, loss_ce: 1.221760, loss_dice: 0.939358, lr: 0.009999
[03:55:15.086] time(h): (0.003087/42.684082), epoch: (0/150), iteration: 12, loss: 0.995664, loss_ce: 1.091933, loss_dice: 0.899395, lr: 0.009999
[03:55:16.007] time(h): (0.003325/42.431060), epoch: (0/150), iteration: 13, loss: 0.899766, loss_ce: 0.878506, loss_dice: 0.921027, lr: 0.009999
[03:55:16.928] time(h): (0.003580/42.428819), epoch: (0/150), iteration: 14, loss: 0.814721, loss_ce: 0.730593, loss_dice: 0.898849, lr: 0.009999
[03:55:17.851] time(h): (0.003844/42.515507), epoch: (0/150), iteration: 15, loss: 0.735795, loss_ce: 0.573777, loss_dice: 0.897812, lr: 0.009999
[03:55:18.777] time(h): (0.004111/42.621181), epoch: (0/150), iteration: 16, loss: 0.683111, loss_ce: 0.491649, loss_dice: 0.874572, lr: 0.009999
[03:55:19.698] time(h): (0.004349/42.436751), epoch: (0/150), iteration: 17, loss: 0.760789, loss_ce: 0.671632, loss_dice: 0.849945, lr: 0.009999
[03:55:20.624] time(h): (0.004627/42.649330), epoch: (0/150), iteration: 18, loss: 0.573680, loss_ce: 0.270306, loss_dice: 0.877055, lr: 0.009999
[03:55:21.544] time(h): (0.004858/42.414425), epoch: (0/150), iteration: 19, loss: 0.523357, loss_ce: 0.156427, loss_dice: 0.890288, lr: 0.009999
[03:55:22.474] time(h): (0.005164/42.831925), epoch: (0/150), iteration: 20, loss: 0.500565, loss_ce: 0.111508, loss_dice: 0.889622, lr: 0.009999
[03:55:23.656] time(h): (0.006888/54.414407), epoch: (0/150), iteration: 21, loss: 0.522803, loss_ce: 0.168622, loss_dice: 0.876984, lr: 0.009999
[03:55:24.582] time(h): (0.005660/42.678622), epoch: (0/150), iteration: 22, loss: 0.563825, loss_ce: 0.248866, loss_dice: 0.878783, lr: 0.009999
[03:55:25.510] time(h): (0.005926/42.742512), epoch: (0/150), iteration: 23, loss: 0.591001, loss_ce: 0.308390, loss_dice: 0.873613, lr: 0.009999
[03:55:26.433] time(h): (0.006152/42.524143), epoch: (0/150), iteration: 24, loss: 0.592897, loss_ce: 0.301733, loss_dice: 0.884060, lr: 0.009999
[03:55:27.359] time(h): (0.006422/42.619533), epoch: (0/150), iteration: 25, loss: 0.631760, loss_ce: 0.379150, loss_dice: 0.884369, lr: 0.009999
[03:55:28.278] time(h): (0.006637/42.346701), epoch: (0/150), iteration: 26, loss: 0.457154, loss_ce: 0.025360, loss_dice: 0.888947, lr: 0.009999
[03:55:29.205] time(h): (0.006950/42.705881), epoch: (0/150), iteration: 27, loss: 0.645838, loss_ce: 0.408105, loss_dice: 0.883571, lr: 0.009999
[03:55:30.129] time(h): (0.007180/42.542326), epoch: (0/150), iteration: 28, loss: 0.462593, loss_ce: 0.039304, loss_dice: 0.885882, lr: 0.009999
[03:55:31.059] time(h): (0.007493/42.862843), epoch: (0/150), iteration: 29, loss: 0.467754, loss_ce: 0.049003, loss_dice: 0.886506, lr: 0.009998
[03:55:31.983] time(h): (0.007695/42.551874), epoch: (0/150), iteration: 30, loss: 0.495948, loss_ce: 0.110608, loss_dice: 0.881288, lr: 0.009998
[03:55:32.914] time(h): (0.008014/42.887630), epoch: (0/150), iteration: 31, loss: 0.546876, loss_ce: 0.229907, loss_dice: 0.863844, lr: 0.009998
[03:55:33.844] time(h): (0.008258/42.810039), epoch: (0/150), iteration: 32, loss: 0.460139, loss_ce: 0.032879, loss_dice: 0.887399, lr: 0.009998
[03:55:34.775] time(h): (0.008531/42.886344), epoch: (0/150), iteration: 33, loss: 0.510535, loss_ce: 0.140493, loss_dice: 0.880577, lr: 0.009998
[03:55:35.703] time(h): (0.008763/42.757674), epoch: (0/150), iteration: 34, loss: 0.566966, loss_ce: 0.260575, loss_dice: 0.873356, lr: 0.009998
[03:55:36.631] time(h): (0.009019/42.748346), epoch: (0/150), iteration: 35, loss: 0.677060, loss_ce: 0.476064, loss_dice: 0.878056, lr: 0.009998
[03:55:37.564] time(h): (0.009327/42.984086), epoch: (0/150), iteration: 36, loss: 0.476836, loss_ce: 0.074041, loss_dice: 0.879630, lr: 0.009998
[03:55:38.492] time(h): (0.009524/42.702101), epoch: (0/150), iteration: 37, loss: 0.523052, loss_ce: 0.175039, loss_dice: 0.871065, lr: 0.009998
[03:55:39.420] time(h): (0.009799/42.780791), epoch: (0/150), iteration: 38, loss: 0.588430, loss_ce: 0.324282, loss_dice: 0.852579, lr: 0.009998
[03:55:40.348] time(h): (0.010042/42.718329), epoch: (0/150), iteration: 39, loss: 0.504612, loss_ce: 0.172594, loss_dice: 0.836630, lr: 0.009998
[03:55:41.279] time(h): (0.010345/42.907527), epoch: (0/150), iteration: 40, loss: 0.548665, loss_ce: 0.262897, loss_dice: 0.834433, lr: 0.009998
[03:55:42.226] time(h): (0.010772/43.586103), epoch: (0/150), iteration: 41, loss: 0.502171, loss_ce: 0.170040, loss_dice: 0.834302, lr: 0.009998
[03:55:43.155] time(h): (0.010831/42.781461), epoch: (0/150), iteration: 42, loss: 0.592087, loss_ce: 0.333192, loss_dice: 0.850982, lr: 0.009998
[03:55:44.084] time(h): (0.011091/42.791130), epoch: (0/150), iteration: 43, loss: 0.480402, loss_ce: 0.070860, loss_dice: 0.889943, lr: 0.009998
[03:55:45.014] time(h): (0.011364/42.845879), epoch: (0/150), iteration: 44, loss: 0.588600, loss_ce: 0.335442, loss_dice: 0.841759, lr: 0.009998
[03:55:45.943] time(h): (0.011614/42.817169), epoch: (0/150), iteration: 45, loss: 0.506698, loss_ce: 0.127963, loss_dice: 0.885432, lr: 0.009998
[03:55:46.876] time(h): (0.011906/42.940621), epoch: (0/150), iteration: 46, loss: 0.511467, loss_ce: 0.178676, loss_dice: 0.844259, lr: 0.009998
[03:55:47.810] time(h): (0.012196/43.048481), epoch: (0/150), iteration: 47, loss: 0.501443, loss_ce: 0.111963, loss_dice: 0.890923, lr: 0.009998
[03:55:48.738] time(h): (0.012367/42.742918), epoch: (0/150), iteration: 48, loss: 0.488409, loss_ce: 0.095733, loss_dice: 0.881085, lr: 0.009997
[03:55:49.670] time(h): (0.012667/42.888476), epoch: (0/150), iteration: 49, loss: 0.502564, loss_ce: 0.114272, loss_dice: 0.890855, lr: 0.009997
[03:55:50.601] time(h): (0.012923/42.880202), epoch: (0/150), iteration: 50, loss: 0.658471, loss_ce: 0.493973, loss_dice: 0.822969, lr: 0.009997
[03:55:51.534] time(h): (0.013209/42.969022), epoch: (0/150), iteration: 51, loss: 0.480870, loss_ce: 0.076443, loss_dice: 0.885297, lr: 0.009997
[03:55:52.464] time(h): (0.013434/42.859195), epoch: (0/150), iteration: 52, loss: 0.476187, loss_ce: 0.069421, loss_dice: 0.882954, lr: 0.009997
[03:55:53.396] time(h): (0.013708/42.907516), epoch: (0/150), iteration: 53, loss: 0.559002, loss_ce: 0.295579, loss_dice: 0.822425, lr: 0.009997
[03:55:54.331] time(h): (0.014018/43.066973), epoch: (0/150), iteration: 54, loss: 0.475082, loss_ce: 0.060636, loss_dice: 0.889528, lr: 0.009997
[03:55:55.266] time(h): (0.014278/43.068181), epoch: (0/150), iteration: 55, loss: 0.492228, loss_ce: 0.117449, loss_dice: 0.867007, lr: 0.009997
[03:55:56.204] time(h): (0.014590/43.223660), epoch: (0/150), iteration: 56, loss: 0.563517, loss_ce: 0.251542, loss_dice: 0.875493, lr: 0.009997
[03:55:57.138] time(h): (0.014775/43.003236), epoch: (0/150), iteration: 57, loss: 0.583915, loss_ce: 0.312695, loss_dice: 0.855135, lr: 0.009997
[03:55:58.077] time(h): (0.015112/43.225912), epoch: (0/150), iteration: 58, loss: 0.561581, loss_ce: 0.255337, loss_dice: 0.867824, lr: 0.009997
[03:55:59.015] time(h): (0.015364/43.200686), epoch: (0/150), iteration: 59, loss: 0.613817, loss_ce: 0.354201, loss_dice: 0.873433, lr: 0.009997
[03:55:59.951] time(h): (0.015595/43.119216), epoch: (0/150), iteration: 60, loss: 0.478426, loss_ce: 0.087006, loss_dice: 0.869846, lr: 0.009997
[03:56:00.909] time(h): (0.016233/44.148732), epoch: (0/150), iteration: 61, loss: 0.558548, loss_ce: 0.269183, loss_dice: 0.847912, lr: 0.009997
[03:56:01.844] time(h): (0.016085/43.039549), epoch: (0/150), iteration: 62, loss: 0.482324, loss_ce: 0.085243, loss_dice: 0.879405, lr: 0.009997
[03:56:02.784] time(h): (0.016450/43.319182), epoch: (0/150), iteration: 63, loss: 0.463650, loss_ce: 0.044083, loss_dice: 0.883217, lr: 0.009997
[03:56:03.721] time(h): (0.016645/43.145937), epoch: (0/150), iteration: 64, loss: 0.465562, loss_ce: 0.047962, loss_dice: 0.883162, lr: 0.009997
[03:56:04.656] time(h): (0.016876/43.073378), epoch: (0/150), iteration: 65, loss: 0.659840, loss_ce: 0.475595, loss_dice: 0.844085, lr: 0.009997
[03:56:05.598] time(h): (0.017257/43.376689), epoch: (0/150), iteration: 66, loss: 0.580390, loss_ce: 0.292639, loss_dice: 0.868142, lr: 0.009996
[03:56:06.536] time(h): (0.017454/43.219287), epoch: (0/150), iteration: 67, loss: 0.478674, loss_ce: 0.089046, loss_dice: 0.868303, lr: 0.009996
[03:56:07.478] time(h): (0.017777/43.371283), epoch: (0/150), iteration: 68, loss: 0.567205, loss_ce: 0.287577, loss_dice: 0.846832, lr: 0.009996
[03:56:08.415] time(h): (0.017953/43.165736), epoch: (0/150), iteration: 69, loss: 0.520456, loss_ce: 0.172829, loss_dice: 0.868082, lr: 0.009996
[03:56:09.354] time(h): (0.018258/43.271476), epoch: (0/150), iteration: 70, loss: 0.496749, loss_ce: 0.137944, loss_dice: 0.855554, lr: 0.009996
[03:56:10.297] time(h): (0.018574/43.399531), epoch: (0/150), iteration: 71, loss: 0.566125, loss_ce: 0.288646, loss_dice: 0.843604, lr: 0.009996
[03:56:11.234] time(h): (0.018737/43.174218), epoch: (0/150), iteration: 72, loss: 0.641608, loss_ce: 0.429303, loss_dice: 0.853914, lr: 0.009996
[03:56:12.178] time(h): (0.019129/43.473771), epoch: (0/150), iteration: 73, loss: 0.555080, loss_ce: 0.309087, loss_dice: 0.801073, lr: 0.009996
[03:56:13.115] time(h): (0.019259/43.175569), epoch: (0/150), iteration: 74, loss: 0.495823, loss_ce: 0.101006, loss_dice: 0.890641, lr: 0.009996
[03:56:14.054] time(h): (0.019552/43.250128), epoch: (0/150), iteration: 75, loss: 0.623502, loss_ce: 0.384154, loss_dice: 0.862850, lr: 0.009996
[03:56:14.994] time(h): (0.019839/43.307074), epoch: (0/150), iteration: 76, loss: 0.563962, loss_ce: 0.309282, loss_dice: 0.818641, lr: 0.009996
[03:56:15.932] time(h): (0.020042/43.180459), epoch: (0/150), iteration: 77, loss: 0.496617, loss_ce: 0.141321, loss_dice: 0.851912, lr: 0.009996
[03:56:16.876] time(h): (0.020443/43.479979), epoch: (0/150), iteration: 78, loss: 0.539475, loss_ce: 0.286696, loss_dice: 0.792253, lr: 0.009996
[03:56:17.818] time(h): (0.020662/43.389203), epoch: (0/150), iteration: 79, loss: 0.525427, loss_ce: 0.234775, loss_dice: 0.816079, lr: 0.009996
[03:56:18.767] time(h): (0.021080/43.715114), epoch: (0/150), iteration: 80, loss: 0.512761, loss_ce: 0.187166, loss_dice: 0.838356, lr: 0.009996
[03:56:19.727] time(h): (0.021579/44.197833), epoch: (0/150), iteration: 81, loss: 0.527336, loss_ce: 0.226057, loss_dice: 0.828614, lr: 0.009996
[03:56:20.670] time(h): (0.021469/43.436437), epoch: (0/150), iteration: 82, loss: 0.488032, loss_ce: 0.085809, loss_dice: 0.890254, lr: 0.009996
[03:56:21.612] time(h): (0.021723/43.419472), epoch: (0/150), iteration: 83, loss: 0.540348, loss_ce: 0.238716, loss_dice: 0.841981, lr: 0.009996
[03:56:22.558] time(h): (0.022056/43.560536), epoch: (0/150), iteration: 84, loss: 0.476048, loss_ce: 0.068643, loss_dice: 0.883452, lr: 0.009995
[03:56:23.497] time(h): (0.022168/43.267334), epoch: (0/150), iteration: 85, loss: 0.474792, loss_ce: 0.059978, loss_dice: 0.889606, lr: 0.009995
[03:56:24.449] time(h): (0.022732/43.851805), epoch: (0/150), iteration: 86, loss: 0.471038, loss_ce: 0.052555, loss_dice: 0.889521, lr: 0.009995
[03:56:25.397] time(h): (0.022884/43.637885), epoch: (0/150), iteration: 87, loss: 0.451678, loss_ce: 0.014401, loss_dice: 0.888955, lr: 0.009995
[03:56:26.340] time(h): (0.023047/43.449522), epoch: (0/150), iteration: 88, loss: 0.477440, loss_ce: 0.083158, loss_dice: 0.871722, lr: 0.009995
[03:56:27.305] time(h): (0.023863/44.481279), epoch: (0/150), iteration: 89, loss: 0.669928, loss_ce: 0.470893, loss_dice: 0.868963, lr: 0.009995
[03:56:28.252] time(h): (0.023652/43.598233), epoch: (0/150), iteration: 90, loss: 0.631560, loss_ce: 0.401644, loss_dice: 0.861476, lr: 0.009995
[03:56:29.198] time(h): (0.023892/43.556724), epoch: (0/150), iteration: 91, loss: 0.474680, loss_ce: 0.061705, loss_dice: 0.887655, lr: 0.009995
[03:56:30.168] time(h): (0.024793/44.708427), epoch: (0/150), iteration: 92, loss: 0.489486, loss_ce: 0.109606, loss_dice: 0.869367, lr: 0.009995
[03:56:31.120] time(h): (0.024559/43.809713), epoch: (0/150), iteration: 93, loss: 0.454323, loss_ce: 0.019627, loss_dice: 0.889020, lr: 0.009995
[03:56:32.061] time(h): (0.024565/43.354604), epoch: (0/150), iteration: 94, loss: 0.581201, loss_ce: 0.297567, loss_dice: 0.864836, lr: 0.009995
[03:56:33.076] time(h): (0.026765/46.739847), epoch: (0/150), iteration: 95, loss: 0.570231, loss_ce: 0.292796, loss_dice: 0.847666, lr: 0.009995
[03:56:34.052] time(h): (0.026041/45.002926), epoch: (0/150), iteration: 96, loss: 0.464263, loss_ce: 0.039209, loss_dice: 0.889318, lr: 0.009995
